product_type,description
lipstick,lippi pencil longwear highintens lip pencil glide easili prevent feather mani lippi stix coordin lippi pencil design compliment perfectli feel free mix match
lipstick,blot lip sheer matt lipstick creat perfect popsicl pout formula lightweight matt buildabl light medium coverag
lipstick,lippi stix formula contain vitamin e mango avocado shea butter ad comfort moistur none lippi formula contain nasti ingredi like paraben sulfat
foundation,develop selfi age buildabl full coverag natur matt foundat deliv flawless look skin daytonight oilfre lightweight formula blend smoothli easili customiz creat coverag want build sheer develop innov softblur pigment deliv true color look feel natur lockabl pump easi use keep routin messfre alway 100 crueltyfre vegan
lipstick,product free lead heavi metal paraben phthalat artifici colour synthet fragranc boosh lipstick glide smoothli clean protect spf coverag fill hydrat oil butter preserv enhanc lip natur surfac organ sweet orang oil give light cheer scent
foundation,serum foundat lightweight mediumcoverag formul avail comprehens shade rang across 21 shade foundat offer moder coverag look natur lightweight serum feel low viscos dispens suppli pump option glass dropper avail purchas separ prefer
foundation,coverag foundat fullcoverag formul avail comprehens shade rang across 21 shade foundat contain higher pigment level serum foundat still offer smooth finish avoid heavi makeup look make skin appear age textur lightweight nonoili cream
eye_makeup,strong12 hour longlastingstrong intens color transferfre leav trace creas eyelid strongpur light capture®strong strongmineralsstrong deliv color radianc silki line refreshingli light pure argan eyelin leav weightless feel eyelidsp alignleftnatur cosmet certifi ecocert greenlif accord ecocert standard avail httpcosmetiquesecocertcomp98 total ingredi natur origin 5 total ingredi organ farm
eye_makeup,strongproduct descriptionstrongantiag formula made organ pure argan oil pure light capturesup®sup pigment 24 hour creasefre intens buildup increas eyelid run pure light capture® pigment deliv color luminos silki refreshingli light feel pure argan eyeshadow weightless eyelid pure argan eyeshadow strongsoothesstrong stronghid red strongand strongslow appear sign age skinstrongp alignleftnatur cosmet certifi ecocert greenlif accord ecocert standard avail httpcosmetiquesecocertcomp100 total ingredi natur origin5 total ingredi organ farm
foundation,span stylefontweight 400keep real polish softfocu look use superfin loos miner powder heal properti organ alo help sooth calm stress skin instantli minim pore soften imperfect creat matt finish superfin powder use airbrush look set foundat ultralong wearspanspan stylefontweight 400 set makeup matt airbrush effectspanspan stylefontweight 400 absorb excess oil soften fine linesspanspan stylefontweight 400 organ alo creat radiant rejuven skinspanspan stylefontweight 400 hypoallergen chemic free cruelti free amp noncomedogen spanspan stylefontweight 400 ewg verifi nontox health safetyspanspan stylefontweight 400 free paraben gluten gmo phthalat sulfat fragranc pheonoxyethanol dimethicon peg propylen glycol butylen glycol lead miner oil talcspan
