product_type,description
lipstick,lippie pencil longwearing highintensity lip pencil glide easily prevents feathering many lippie stix coordinating lippie pencil designed compliment perfectly feel free mix match
lipstick,blotted lip sheer matte lipstick creates perfect popsicle pout formula lightweight matte buildable light medium coverage
lipstick,lippie stix formula contains vitamin e mango avocado shea butter added comfort moisture none lippie formula contain nasty ingredient like parabens sulfate
foundation,developed selfie age buildable full coverage natural matte foundation delivers flawless looking skin daytonight oilfree lightweight formula blend smoothly easily customizable create coverage want build sheer developed innovative softblurring pigment deliver true color looking feeling natural lockable pump easy use keep routine messfree always 100 crueltyfree vegan
lipstick,product free lead heavy metal parabens phthalates artificial colourants synthetic fragrance boosh lipstick glide smoothly clean protective spf coverage filled hydrating oil butter preserve enhance lip natural surface organic sweet orange oil give light cheerful scent
foundation,serum foundation lightweight mediumcoverage formulation available comprehensive shade range across 21 shade foundation offer moderate coverage look natural lightweight serum feel low viscosity dispensed supplied pump optional glass dropper available purchase separately preferred
foundation,coverage foundation fullcoverage formulation available comprehensive shade range across 21 shade foundation contain higher pigment level serum foundation still offer smooth finish avoids heavy makeup look make skin appear aged texture lightweight nonoily cream
eye_makeup,strong12 hour longlastingstrong intense color transferfree leaf trace crease eyelid strongpure light capture®strong strongmineralsstrong deliver color radiance silky line refreshingly light pure argan eyeliner leaf weightless feel eyelidsp alignleftnatural cosmetic certified ecocert greenlife according ecocert standard available httpcosmetiquesecocertcomp98 total ingredient natural origin 5 total ingredient organic farming
eye_makeup,strongproduct descriptionstrongantiaging formula made organic pure argan oil pure light capturesup®sup pigment 24 hour creasefree intensity buildup increase eyelid running pure light capture® pigment deliver color luminosity silky refreshingly light feel pure argan eyeshadow weightless eyelid pure argan eyeshadow strongsoothesstrong stronghides redness strongand strongslows appearance sign aging skinstrongp alignleftnatural cosmetic certified ecocert greenlife according ecocert standard available httpcosmetiquesecocertcomp100 total ingredient natural origin5 total ingredient organic farming
foundation,span stylefontweight 400keep real polished softfocus look using superfine loose mineral powder healing property organic aloe help soothe calm stressed skin instantly minimize pore soften imperfection creates matte finish superfine powder use airbrushed look set foundation ultralong wearspanspan stylefontweight 400 set makeup matte airbrushed effectspanspan stylefontweight 400 absorbs excess oil softening fine linesspanspan stylefontweight 400 organic aloe creates radiant rejuvenated skinspanspan stylefontweight 400 hypoallergenic chemical free cruelty free amp noncomedogenic spanspan stylefontweight 400 ewg verified nontoxic health safetyspanspan stylefontweight 400 free parabens gluten gmo phthalates sulfate fragrance pheonoxyethanol dimethicone peg propylene glycol butylene glycol lead mineral oil talcspan
eye_makeup,let eye naturally pop b smudged subtle eye color add tint color base lash organic cream eye color b smudged eliminates inevitable uneven line traditional eyeliner require expert blending technique messy powderbased shadow simply smudge along lash line color stay place long lasting look
lipstick,intensify natural lip color sally b b glossy lip gloss organic lip gloss add silky smooth hint color shimmer lip formulated 98 certified organic moisturerich ingredient b glossy lip gloss work enrich lip health lip feel good look even better
